gross_weight_lbs,drag_index,optimum_alt_ft,optimum_mach,source_note
70000,0,32300,0.718,PublicIntelligence F14AAP-1B p241 table
70000,50,33400,0.718,PublicIntelligence F14AAP-1B p241 table
70000,100,33900,0.718,PublicIntelligence F14AAP-1B p241 table
70000,150,34200,0.718,PublicIntelligence F14AAP-1B p241 table
65000,0,33900,0.718,PublicIntelligence F14AAP-1B p241 table
65000,50,35000,0.718,PublicIntelligence F14AAP-1B p241 table
65000,100,35500,0.718,PublicIntelligence F14AAP-1B p241 table
65000,150,35700,0.718,PublicIntelligence F14AAP-1B p241 table
60000,0,35500,0.718,PublicIntelligence F14AAP-1B p241 table
60000,50,36600,0.718,PublicIntelligence F14AAP-1B p241 table
60000,100,37100,0.718,PublicIntelligence F14AAP-1B p241 table
60000,150,37300,0.718,PublicIntelligence F14AAP-1B p241 table
55000,0,37300,0.718,PublicIntelligence F14AAP-1B p241 table
55000,50,38300,0.718,PublicIntelligence F14AAP-1B p241 table
55000,100,38800,0.718,PublicIntelligence F14AAP-1B p241 table
55000,150,39100,0.718,PublicIntelligence F14AAP-1B p241 table
50000,0,39300,0.718,PublicIntelligence F14AAP-1B p241 table
50000,50,40200,0.718,PublicIntelligence F14AAP-1B p241 table
50000,100,40600,0.718,PublicIntelligence F14AAP-1B p241 table
50000,150,40900,0.718,PublicIntelligence F14AAP-1B p241 table
