flap_setting,gross_weight_lbs,pressure_alt_ft,temp_F,headwind_kt,ground_roll_ft_unfactored
DOWN,45000,0,20,0,1860
DOWN,45000,0,20,10,1610
DOWN,45000,0,20,20,1415
DOWN,45000,0,20,30,1255
DOWN,45000,0,20,40,1120
DOWN,45000,0,59,0,2020
DOWN,45000,0,59,10,1750
DOWN,45000,0,59,20,1545
DOWN,45000,0,59,30,1375
DOWN,45000,0,59,40,1225
DOWN,45000,0,90,0,2145
DOWN,45000,0,90,10,1860
DOWN,45000,0,90,20,1640
DOWN,45000,0,90,30,1460
DOWN,45000,0,90,40,1305
DOWN,45000,0,120,0,2255
DOWN,45000,0,120,10,1960
DOWN,45000,0,120,20,1730
DOWN,45000,0,120,30,1540
DOWN,45000,0,120,40,1375
DOWN,45000,4000,20,0,2130
DOWN,45000,4000,20,10,1840
DOWN,45000,4000,20,20,1620
DOWN,45000,4000,20,30,1440
DOWN,45000,4000,20,40,1285
DOWN,45000,4000,59,0,2310
DOWN,45000,4000,59,10,2000
DOWN,45000,4000,59,20,1760
DOWN,45000,4000,59,30,1570
DOWN,45000,4000,59,40,1400
DOWN,45000,4000,90,0,2450
DOWN,45000,4000,90,10,2120
DOWN,45000,4000,90,20,1870
DOWN,45000,4000,90,30,1670
DOWN,45000,4000,90,40,1490
DOWN,45000,4000,120,0,2580
DOWN,45000,4000,120,10,2240
DOWN,45000,4000,120,20,1970
DOWN,45000,4000,120,30,1760
DOWN,45000,4000,120,40,1575
DOWN,45000,8000,20,0,2460
DOWN,45000,8000,20,10,2120
DOWN,45000,8000,20,20,1860
DOWN,45000,8000,20,30,1650
DOWN,45000,8000,20,40,1470
DOWN,45000,8000,59,0,2670
DOWN,45000,8000,59,10,2310
DOWN,45000,8000,59,20,2040
DOWN,45000,8000,59,30,1810
DOWN,45000,8000,59,40,1610
DOWN,45000,8000,90,0,2830
DOWN,45000,8000,90,10,2450
DOWN,45000,8000,90,20,2170
DOWN,45000,8000,90,30,1930
DOWN,45000,8000,90,40,1715
DOWN,45000,8000,120,0,2980
DOWN,45000,8000,120,10,2590
DOWN,45000,8000,120,20,2290
DOWN,45000,8000,120,30,2040
DOWN,45000,8000,120,40,1815
DOWN,50000,0,20,0,2290
DOWN,50000,0,20,10,1990
DOWN,50000,0,20,20,1745
DOWN,50000,0,20,30,1545
DOWN,50000,0,20,40,1375
DOWN,50000,0,59,0,2475
DOWN,50000,0,59,10,2160
DOWN,50000,0,59,20,1905
DOWN,50000,0,59,30,1690
DOWN,50000,0,59,40,1515
DOWN,50000,0,90,0,2620
DOWN,50000,0,90,10,2295
DOWN,50000,0,90,20,2030
DOWN,50000,0,90,30,1810
DOWN,50000,0,90,40,1625
DOWN,50000,0,120,0,2760
DOWN,50000,0,120,10,2430
DOWN,50000,0,120,20,2155
DOWN,50000,0,120,30,1925
DOWN,50000,0,120,40,1730
DOWN,50000,4000,20,0,2620
DOWN,50000,4000,20,10,2300
DOWN,50000,4000,20,20,2035
DOWN,50000,4000,20,30,1815
DOWN,50000,4000,20,40,1625
DOWN,50000,4000,59,0,2830
DOWN,50000,4000,59,10,2495
DOWN,50000,4000,59,20,2215
DOWN,50000,4000,59,30,1985
DOWN,50000,4000,59,40,1785
